,Tick,Second,AttackerSteamId,AttackerName,AttackerTeam,AttackerSide,AttackerX,AttackerY,AttackerZ,AttackerAreaId,AttackerAreaName,AttackerViewX,AttackerViewY,VictimSteamId,VictimName,VictimTeam,VictimSide,VictimX,VictimY,VictimZ,VictimAreaId,VictimAreaName,VictimViewX,VictimViewY,AssisterSteamId,AssisterName,AssisterTeam,AssisterSide,AssisterX,AssisterY,AssisterZ,AssisterAreaId,AssisterAreaName,IsWallbang,IsFlashed,IsHeadshot,IsTrade,PlayerTradedName,PlayerTradedTeam,PlayerTradedSteamId,IsFirstKill,Weapon,RoundNum,MatchId,MapName
42,97968,27.79527559055118,7.656119799637018e+16,VINI,FURIA,CT,-786.885498046875,159.49374389648438,-173.89073181152344,61.0,CT Deep Catwalk Mid peek,161.5594482421875,7.6629638671875,76561198044045107,electronic,NAVI,T,-1844.60791015625,501.02886962890625,-167.96875,51,Left Side Platform,284.6722412109375,3.2904052734375,,,,,,,,,,False,False,False,False,b1t,NAVI,7.656119824660747e+16,False,M4A4,7,furia-vs-natus-vincere-m3-mirage,de_mirage
43,97981,27.89763779527559,7.656119812122048e+16,Perfecto,NAVI,T,-1989.2352294921875,474.6814880371094,-160.63815307617188,50.0,B Site Default Plant,83.4906005859375,351.1834716796875,76561198058500492,KSCERATO,FURIA,CT,-1977.4925537109375,849.5613403320312,-23.96875,846,Right Side Platform,270.52734375,22.939453125,,,,,,,,,,False,True,False,False,electronic,NAVI,7.65611980440451e+16,False,AK-47,7,furia-vs-natus-vincere-m3-mirage,de_mirage
44,98903,35.15748031496063,7.656119803420227e+16,s1mple,NAVI,T,-1834.7635498046875,261.15545654296875,-163.27903747558594,555.0,Catwalk Plant B Site,1.0162353515625,0.9393310546875,76561197996370184,VINI,FURIA,CT,-756.3181762695312,279.51611328125,-165.4409942626953,2460,CT Deep Catwalk Mid peek,180.8953857421875,0.087890625,,,,,,,,,,False,False,False,False,KSCERATO,FURIA,7.65611980585005e+16,False,AWP,7,furia-vs-natus-vincere-m3-mirage,de_mirage
45,101032,51.92125984251968,7.656119816497056e+16,yuurih,FURIA,CT,-2067.504638671875,31.920997619628906,-161.987548828125,373.0,Back Right B Site from T's Perspective,66.983642578125,357.25341796875,76561198121220486,Perfecto,NAVI,T,-1900.7100830078125,423.998046875,-89.94175720214844,959,Catwalk Plant B Site,247.2198486328125,10.338134765625,,,,,,,,,,False,False,False,False,VINI,FURIA,7.656119799637018e+16,False,M4A4,7,furia-vs-natus-vincere-m3-mirage,de_mirage
46,101267,53.77165354330709,7.656119803420227e+16,s1mple,NAVI,T,-2492.20654296875,451.9814453125,-167.43849182128906,269.0,Forest,314.3243408203125,359.5166015625,76561198164970560,yuurih,FURIA,CT,-2127.96875,79.65760040283203,-159.97418212890625,207,Safe Plant B Site,135.0714111328125,1.9775390625,,,,,,,,,,False,False,False,False,Perfecto,NAVI,7.656119812122048e+16,False,AWP,7,furia-vs-natus-vincere-m3-mirage,de_mirage
47,101994,59.496062992125985,7.656119804376957e+16,arT,FURIA,CT,-1339.3466796875,518.683837890625,-163.5056915283203,25.0,Arch,200.7696533203125,7.6519775390625,76561198034202275,s1mple,NAVI,T,-2281.042236328125,155.28802490234375,-167.96875,100,Back Right B Site from T's Perspective,269.75830078125,12.5628662109375,,,,,,,,,,False,False,False,False,yuurih,FURIA,7.656119816497056e+16,False,AK-47,7,furia-vs-natus-vincere-m3-mirage,de_mirage
48,115471,30.566929133858267,7.656119814620707e+16,Boombl4,NAVI,T,-126.49645233154297,-351.1038513183594,-159.96875,41.0,Top Mid Catwalk,219.287109375,4.4000244140625,76561198043769572,arT,FURIA,CT,-807.709716796875,-929.8018188476562,-167.96875,2448,Right Side Connector,43.9508056640625,1.51611328125,,,,,,,,,,False,False,False,False,,,,True,Galil AR,8,furia-vs-natus-vincere-m3-mirage,de_mirage
49,115869,33.7007874015748,7.65611980585005e+16,KSCERATO,FURIA,CT,-2049.62841796875,780.2429809570312,-47.96875,48.0,Left Side Platform,354.5562744140625,0.6591796875,76561198121220486,Perfecto,NAVI,T,-1207.8873291015625,703.61572265625,-37.26153564453125,42,Deep T Apps,173.4686279296875,7.8057861328125,,,,,,,,,,False,False,False,False,arT,FURIA,7.656119804376957e+16,False,AWP,8,furia-vs-natus-vincere-m3-mirage,de_mirage
50,116149,35.90551181102362,7.656119814620707e+16,Boombl4,NAVI,T,-762.7203979492188,-177.79090881347656,-159.96875,303.0,Deep Catwalk,153.984375,1.6534423828125,76561197996370184,VINI,FURIA,CT,-1007.6376342773438,-61.549041748046875,-167.96875,126,Ladder Room Catwalk Side,336.302490234375,356.4569091796875,,,,,,,,,,False,False,True,False,Perfecto,NAVI,7.656119812122048e+16,False,Galil AR,8,furia-vs-natus-vincere-m3-mirage,de_mirage
51,116292,37.031496062992126,7.656119824660747e+16,b1t,NAVI,T,-647.2523193359375,-713.1060180664062,-268.4693908691406,39.0,Mid Close Connector,272.57080078125,349.7552490234375,76561198164970560,yuurih,FURIA,CT,-603.4393920898438,-1225.9893798828125,-167.96875,140,Leftside Connector,102.5408935546875,2.74658203125,,,,,,,,,,False,False,False,False,VINI,FURIA,7.656119799637018e+16,False,Galil AR,8,furia-vs-natus-vincere-m3-mirage,de_mirage
