,Tick,Second,AttackerSteamId,AttackerName,AttackerTeam,AttackerSide,AttackerX,AttackerY,AttackerZ,AttackerAreaId,AttackerAreaName,AttackerViewX,AttackerViewY,VictimSteamId,VictimName,VictimTeam,VictimSide,VictimX,VictimY,VictimZ,VictimAreaId,VictimAreaName,VictimViewX,VictimViewY,Weapon,HpDamage,HpDamageTaken,ArmorDamage,ArmorDamageTaken,HitGroup,RoundNum,MatchId,MapName
49,29650,12.51968503937008,7.656119824660747e+16,b1t,NAVI,T,-266.79833984375,-611.380126953125,-253.96875,105.0,Top Mid,176.8634033203125,358.9398193359375,76561198043769572,arT,FURIA,CT,-1171.80615234375,-521.7493286132812,-167.96875,284,Right Side Snipers Nest,352.6611328125,9.898681640625,Molotov,2,2,0,0,Generic,3,furia-vs-natus-vincere-m3-mirage,de_mirage
50,29676,12.724409448818898,7.656119824660747e+16,b1t,NAVI,T,-266.79833984375,-611.380126953125,-253.96875,105.0,Top Mid,176.8634033203125,358.9398193359375,76561198043769572,arT,FURIA,CT,-1160.4632568359375,-496.96942138671875,-167.96875,284,Right Side Snipers Nest,304.2828369140625,15.5731201171875,Molotov,3,3,0,0,Generic,3,furia-vs-natus-vincere-m3-mirage,de_mirage
51,29702,12.929133858267717,7.656119824660747e+16,b1t,NAVI,T,-266.79833984375,-611.380126953125,-253.96875,105.0,Top Mid,176.8634033203125,358.9398193359375,76561198043769572,arT,FURIA,CT,-1143.0789794921875,-470.0300598144531,-167.96875,284,Right Side Snipers Nest,262.77099609375,21.11572265625,Molotov,4,4,0,0,Generic,3,furia-vs-natus-vincere-m3-mirage,de_mirage
52,30718,20.929133858267715,7.656119814620707e+16,Boombl4,NAVI,T,-624.3187255859375,-760.2921752929688,-261.96875,81.0,Mid Close Connector,279.2449951171875,344.1796875,76561198164970560,yuurih,FURIA,CT,-548.3706665039062,-1151.4912109375,-167.96875,140,Leftside Connector,108.9349365234375,11.93115234375,AK-47,109,100,15,15,Head,3,furia-vs-natus-vincere-m3-mirage,de_mirage
53,31096,23.905511811023622,7.656119803420227e+16,s1mple,NAVI,T,158.51512145996094,-1569.5479736328125,-174.2137451171875,15.0,Close A Ramp,216.7327880859375,359.2529296875,76561198064058958,junior,FURIA,CT,-1050.499755859375,-2436.84716796875,-116.15404510498047,56,Ticketbooth ,133.6212158203125,16.98486328125,Galil AR,35,35,0,0,Stomach,3,furia-vs-natus-vincere-m3-mirage,de_mirage
54,31108,24.0,7.656119803420227e+16,s1mple,NAVI,T,158.40463256835938,-1569.4853515625,-174.22003173828125,15.0,Close A Ramp,215.782470703125,358.165283203125,76561198064058958,junior,FURIA,CT,-1066.8529052734375,-2419.263916015625,-112.1585922241211,56,Ticketbooth ,136.6644287109375,22.181396484375,Galil AR,18,18,0,0,Stomach,3,furia-vs-natus-vincere-m3-mirage,de_mirage
55,31116,24.062992125984252,7.65611980440451e+16,electronic,NAVI,T,8.136509895324707,-2095.787841796875,-35.96875,47.0,Top Balcony,196.6552734375,5.3668212890625,76561198064058958,junior,FURIA,CT,-1075.4263916015625,-2405.6201171875,-113.40120697021484,56,Ticketbooth ,120.7562255859375,27.5921630859375,Galil AR,21,21,0,0,LeftLeg,3,furia-vs-natus-vincere-m3-mirage,de_mirage
56,31128,24.15748031496063,7.65611980440451e+16,electronic,NAVI,T,8.21285343170166,-2096.729736328125,-35.96875,47.0,Top Balcony,196.171875,4.932861328125,76561198064058958,junior,FURIA,CT,-1082.9146728515625,-2381.972900390625,-121.12450408935547,56,Ticketbooth ,107.73193359375,32.5799560546875,Galil AR,35,26,0,0,Stomach,3,furia-vs-natus-vincere-m3-mirage,de_mirage
57,31287,25.409448818897637,7.656119812122048e+16,Perfecto,NAVI,T,-20.07549476623535,-2075.0126953125,-37.96875,47.0,Top Balcony,145.3875732421875,6.2457275390625,76561198043769572,arT,FURIA,CT,-1231.909423828125,-1230.0406494140625,-167.96875,1090,Snipers Palace Peek,320.7183837890625,355.5120849609375,AK-47,32,32,4,4,Stomach,3,furia-vs-natus-vincere-m3-mirage,de_mirage
58,31313,25.614173228346456,7.656119812122048e+16,Perfecto,NAVI,T,-19.754011154174805,-2074.400146484375,-37.96875,47.0,Top Balcony,145.2337646484375,8.6846923828125,76561198043769572,arT,FURIA,CT,-1223.0294189453125,-1218.404296875,-167.96875,1090,Snipers Palace Peek,6.383056640625,2.30712890625,AK-47,26,26,3,3,RightArm,3,furia-vs-natus-vincere-m3-mirage,de_mirage
59,31423,26.480314960629922,7.656119814620707e+16,Boombl4,NAVI,T,-1149.166748046875,-739.7493896484375,-167.96875,285.0,Snipers Nest,254.9981689453125,1.91162109375,76561198043769572,arT,FURIA,CT,-1267.6629638671875,-1169.2027587890625,-167.96875,55,Snipers Palace Peek,76.739501953125,1.25244140625,AK-47,27,20,3,3,Chest,3,furia-vs-natus-vincere-m3-mirage,de_mirage
