,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
593,Top Mid towards Apps,Refresh,0,0,0,0,0,0,T,172
594,Catwalk Connector Peek,Refresh,7,1,6,596,270,326,CT,172
595,Catwalk Connector Peek,Refresh,0,0,0,0,0,0,T,172
596,Top Mid,Refresh,4,0,4,412,122,290,CT,172
597,Top Mid,Refresh,1,1,0,31,142,-111,T,172
598,Ninja,Refresh,0,1,-1,48,67,-19,CT,172
599,Ninja,Refresh,0,1,-1,29,30,-1,T,172
600,Bottom Mid Ladder Room Peek,Refresh,0,0,0,0,0,0,CT,172
601,Bottom Mid Ladder Room Peek,Refresh,0,0,0,16,16,0,T,172
602,market,Refresh,3,1,2,237,174,63,CT,172
603,market,Refresh,1,1,0,100,84,16,T,172
604,B Site Default Plant,Refresh,0,0,0,0,0,0,CT,172
605,B Site Default Plant,Refresh,0,1,-1,0,78,-78,T,172
606,Triple Box,Refresh,0,0,0,18,0,18,CT,172
607,Triple Box,Refresh,1,1,0,47,122,-75,T,172
608,Inside Market Doors,Refresh,2,0,2,103,0,103,CT,172
609,Inside Market Doors,Refresh,0,0,0,0,0,0,T,172
610,Middle Bench,Refresh,0,2,-2,48,170,-122,CT,172
611,Middle Bench,Refresh,0,0,0,0,0,0,T,172
612,Stairs Palace Peek,Refresh,1,1,0,53,100,-47,CT,172
613,Stairs Palace Peek,Refresh,0,0,0,0,0,0,T,172
614,Behind Big Boxes,Refresh,0,0,0,0,0,0,CT,172
615,Behind Big Boxes,Refresh,0,0,0,0,0,0,T,172
616,Elevated Snipers Awp Peek,Refresh,0,1,-1,23,100,-77,CT,172
617,Elevated Snipers Awp Peek,Refresh,0,0,0,0,0,0,T,172
618,Bottom Mid Boosting Snipers,Refresh,0,0,0,0,0,0,CT,172
619,Bottom Mid Boosting Snipers,Refresh,0,0,0,0,0,0,T,172
620,Firebox,Refresh,0,0,0,0,0,0,CT,172
621,Firebox,Refresh,0,0,0,0,0,0,T,172
622,Forest,Refresh,0,0,0,0,0,0,CT,172
623,Forest,Refresh,0,0,0,0,33,-33,T,172
624,Close Right Market Window,Refresh,0,0,0,0,0,0,CT,172
625,Close Right Market Window,Refresh,1,1,0,152,100,52,T,172
626,Top STairs,Refresh,2,0,2,156,26,130,CT,172
627,Top STairs,Refresh,1,0,1,22,23,-1,T,172
628,Van Barrel Peek,Refresh,0,0,0,0,0,0,CT,172
629,Van Barrel Peek,Refresh,0,0,0,0,0,0,T,172
630,Back Right B Site from T's Perspective,Refresh,2,0,2,191,62,129,CT,172
631,Back Right B Site from T's Perspective,Refresh,0,1,-1,0,44,-44,T,172
632,Jungle Plant,Refresh,0,0,0,0,0,0,CT,172
633,Jungle Plant,Refresh,0,0,0,0,0,0,T,172
634,Apartments Right CT Corner,Refresh,0,0,0,0,0,0,CT,172
635,Apartments Right CT Corner,Refresh,1,0,1,100,0,100,T,172
636,Ladder Room Catwalk Side,Refresh,0,0,0,0,0,0,CT,172
637,Ladder Room Catwalk Side,Refresh,1,0,1,60,2,58,T,172
638,Chair,Refresh,0,0,0,0,0,0,CT,172
639,Chair,Refresh,0,0,0,0,0,0,T,172
640,T Deep Apps Underpass/Apps Peek,Refresh,0,0,0,0,0,0,CT,172
641,T Deep Apps Underpass/Apps Peek,Refresh,1,0,1,100,4,96,T,172
642,Stairs Smoke Platform,Refresh,0,0,0,0,0,0,CT,172
643,Stairs Smoke Platform,Refresh,0,0,0,0,0,0,T,172
644,Top Mid Right Side,Refresh,0,0,0,0,0,0,CT,172
645,Top Mid Right Side,Refresh,0,0,0,0,29,-29,T,172
646,Catwalk Plant B Site,Refresh,0,0,0,0,0,0,CT,172
647,Catwalk Plant B Site,Refresh,1,0,1,100,53,47,T,172
648,Top Van,Refresh,0,1,-1,0,100,-100,CT,172
649,Top Van,Refresh,0,0,0,0,14,-14,T,172
650,Murder Hole,Refresh,1,1,0,100,100,0,CT,172
651,Murder Hole,Refresh,1,0,1,100,16,84,T,172
652,Right Side Snipers Nest,Refresh,1,1,0,36,100,-64,CT,172
653,Right Side Snipers Nest,Refresh,0,0,0,0,0,0,T,172
654,B site Market Plant,Refresh,0,0,0,0,0,0,CT,172
655,B site Market Plant,Refresh,0,0,0,0,0,0,T,172
656,Sandwhich,Refresh,0,0,0,0,0,0,CT,172
657,Sandwhich,Refresh,0,0,0,0,0,0,T,172
658,Default A,Sjuush,7,6,1,926,600,326,CT,172
659,Default A,Sjuush,2,2,0,278,389,-111,T,172
660,Ticketbooth ,Sjuush,14,8,6,1515,1122,393,CT,172
661,Ticketbooth ,Sjuush,0,0,0,0,0,0,T,172
662,T Spawn A Ramp,Sjuush,3,2,1,279,200,79,CT,172
663,T Spawn A Ramp,Sjuush,0,2,-2,26,158,-132,T,172
664,A Ramp,Sjuush,5,4,1,489,459,30,CT,172
665,A Ramp,Sjuush,1,0,1,116,68,48,T,172
666,Top Balcony,Sjuush,7,3,4,783,394,389,CT,172
667,Top Balcony,Sjuush,1,1,0,243,171,72,T,172
668,T Palace Stairs Peek,Sjuush,0,0,0,0,0,0,CT,172
669,T Palace Stairs Peek,Sjuush,1,2,-1,126,262,-136,T,172
670,Close A Ramp,Sjuush,4,3,1,413,276,137,CT,172
671,Close A Ramp,Sjuush,1,0,1,73,66,7,T,172
672,market,Sjuush,2,2,0,104,99,5,CT,172
673,market,Sjuush,1,2,-1,41,114,-73,T,172
674,Triple Box,Sjuush,0,2,-2,8,202,-194,CT,172
675,Triple Box,Sjuush,0,2,-2,27,88,-61,T,172
676,Back B Site Peeking Apps/Plat,Sjuush,0,0,0,0,0,0,CT,172
677,Back B Site Peeking Apps/Plat,Sjuush,1,5,-4,115,409,-294,T,172
678,Bottom Stairs,Sjuush,4,2,2,411,216,195,CT,172
679,Bottom Stairs,Sjuush,0,1,-1,38,100,-62,T,172
680,Bottom Connector,Sjuush,0,0,0,0,13,-13,CT,172
681,Bottom Connector,Sjuush,2,2,0,198,115,83,T,172
682,CT Side Apps,Sjuush,0,0,0,0,0,0,CT,172
683,CT Side Apps,Sjuush,2,4,-2,267,484,-217,T,172
684,Deep Palace,Sjuush,1,1,0,192,100,92,CT,172
685,Deep Palace,Sjuush,0,2,-2,124,200,-76,T,172
686,Left Side Platform,Sjuush,0,0,0,0,0,0,CT,172
687,Left Side Platform,Sjuush,1,3,-2,139,208,-69,T,172
688,A Site,Sjuush,6,1,5,557,172,385,CT,172
689,A Site,Sjuush,0,2,-2,65,177,-112,T,172
690,CT Deep Catwalk Mid peek,Sjuush,0,0,0,0,11,-11,CT,172
691,CT Deep Catwalk Mid peek,Sjuush,0,0,0,8,0,8,T,172
692,B Bombsite Cross to Catwalk,Sjuush,0,0,0,0,0,0,CT,172
693,B Bombsite Cross to Catwalk,Sjuush,2,1,1,153,179,-26,T,172
694,Top Mid Left Side,Sjuush,0,0,0,0,0,0,CT,172
695,Top Mid Left Side,Sjuush,0,1,-1,202,175,27,T,172
696,Top Connector,Sjuush,0,1,-1,0,111,-111,CT,172
697,Top Connector,Sjuush,1,0,1,36,0,36,T,172
698,Bench,Sjuush,1,2,-1,100,200,-100,CT,172
699,Bench,Sjuush,2,1,1,162,94,68,T,172
700,Deep CT,Sjuush,2,3,-1,286,300,-14,CT,172
701,Deep CT,Sjuush,0,0,0,0,0,0,T,172
702,Sandwhich,Sjuush,0,0,0,7,0,7,CT,172
703,Sandwhich,Sjuush,0,0,0,0,0,0,T,172
704,Close Left CT A Ramp,Sjuush,1,2,-1,174,225,-51,CT,172
705,Close Left CT A Ramp,Sjuush,1,1,0,100,100,0,T,172
706,Catwalk Connector Peek,Sjuush,0,0,0,0,0,0,CT,172
707,Catwalk Connector Peek,Sjuush,3,0,3,104,0,104,T,172
708,Under balcony,Sjuush,2,1,1,167,47,120,CT,172
709,Under balcony,Sjuush,0,1,-1,0,88,-88,T,172
710,Back Left B Site From T's' Perspective,Sjuush,0,2,-2,0,200,-200,CT,172
711,Back Left B Site From T's' Perspective,Sjuush,2,0,2,99,1,98,T,172
712,Catwalk Plant B Site,Sjuush,0,0,0,0,0,0,CT,172
713,Catwalk Plant B Site,Sjuush,1,3,-2,129,190,-61,T,172
714,Mid Close Connector,Sjuush,1,2,-1,100,239,-139,CT,172
715,Mid Close Connector,Sjuush,1,1,0,226,69,157,T,172
716,Tetris,Sjuush,0,0,0,0,0,0,CT,172
717,Tetris,Sjuush,0,0,0,0,0,0,T,172
718,CT Left Side,Sjuush,2,2,0,322,293,29,CT,172
719,CT Left Side,Sjuush,0,0,0,0,0,0,T,172
720,Top STairs,Sjuush,0,1,-1,0,100,-100,CT,172
721,Top STairs,Sjuush,0,0,0,0,0,0,T,172
722,Right Side Connector,Sjuush,0,0,0,0,0,0,CT,172
723,Right Side Connector,Sjuush,0,0,0,64,0,64,T,172
724,A Site Exposed to Stairs Connector Cat,Sjuush,0,0,0,69,0,69,CT,172
725,A Site Exposed to Stairs Connector Cat,Sjuush,4,0,4,330,47,283,T,172
726,Top Mid,Sjuush,1,1,0,122,100,22,CT,172
727,Top Mid,Sjuush,0,1,-1,11,53,-42,T,172
728,Deep Jungle,Sjuush,0,0,0,0,0,0,CT,172
729,Deep Jungle,Sjuush,1,0,1,88,38,50,T,172
730,Leftside Connector,Sjuush,0,2,-2,82,200,-118,CT,172
731,Leftside Connector,Sjuush,0,0,0,0,0,0,T,172
732,Balcony Boaxes,Sjuush,0,1,-1,51,127,-76,CT,172
733,Balcony Boaxes,Sjuush,0,1,-1,0,92,-92,T,172
734,Back Right B Site from T's Perspective,Sjuush,0,0,0,0,0,0,CT,172
735,Back Right B Site from T's Perspective,Sjuush,0,0,0,0,0,0,T,172
736,Deep Catwalk,Sjuush,0,0,0,0,0,0,CT,172
737,Deep Catwalk,Sjuush,0,0,0,0,102,-102,T,172
738,Close Market Window,Sjuush,0,0,0,0,0,0,CT,172
739,Close Market Window,Sjuush,0,0,0,0,0,0,T,172
740,Catwalk T Aparments Peek,Sjuush,0,0,0,0,0,0,CT,172
741,Catwalk T Aparments Peek,Sjuush,0,1,-1,0,7,-7,T,172
742,Murder Hole,Sjuush,0,0,0,0,0,0,CT,172
743,Murder Hole,Sjuush,0,0,0,0,0,0,T,172
744,Deep T Spawn T Ramp,Sjuush,1,0,1,100,0,100,CT,172
