,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds,Damage Diff Per 30,KD Diff Per 30,Kills Per 30,Deaths Per 30,Damage Dealt Per 30,Damage Taken Per 30
934,Top Balcony,huNter-,1,0,1,100,26,74,CT,141,15.74468085106383,0.2127659574468085,0.2127659574468085,0.0,21.27659574468085,5.531914893617021
935,Top Balcony,huNter-,0,1,-1,0,82,-82,T,176,-13.977272727272727,-0.17045454545454547,0.0,0.17045454545454547,0.0,13.977272727272727
936,Top Mid Catwalk,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
937,Top Mid Catwalk,huNter-,3,2,1,325,231,94,T,176,16.022727272727273,0.17045454545454547,0.5113636363636364,0.34090909090909094,55.39772727272727,39.375
938,Van Barrel Peek,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
939,Van Barrel Peek,huNter-,4,3,1,506,272,234,T,176,39.88636363636364,0.17045454545454547,0.6818181818181819,0.5113636363636364,86.25,46.36363636363636
940,Close Market door,huNter-,3,0,3,285,76,209,CT,141,44.46808510638298,0.6382978723404256,0.6382978723404256,0.0,60.63829787234043,16.170212765957448
941,Close Market door,huNter-,1,0,1,132,64,68,T,176,11.59090909090909,0.17045454545454547,0.17045454545454547,0.0,22.5,10.90909090909091
942,Sandwhich,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
943,Sandwhich,huNter-,0,4,-4,27,270,-243,T,176,-41.42045454545455,-0.6818181818181819,0.0,0.6818181818181819,4.6022727272727275,46.02272727272727
944,T Palace Stairs Peek,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
945,T Palace Stairs Peek,huNter-,4,3,1,383,325,58,T,176,9.886363636363637,0.17045454545454547,0.6818181818181819,0.5113636363636364,65.2840909090909,55.39772727272727
946,Inside Market Doors,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
947,Inside Market Doors,huNter-,0,1,-1,19,100,-81,T,176,-13.806818181818182,-0.17045454545454547,0.0,0.17045454545454547,3.2386363636363638,17.045454545454547
948,Firebox,huNter-,0,1,-1,0,100,-100,CT,141,-21.27659574468085,-0.2127659574468085,0.0,0.2127659574468085,0.0,21.27659574468085
949,Firebox,huNter-,1,1,0,99,100,-1,T,176,-0.17045454545454547,0.0,0.17045454545454547,0.17045454545454547,16.875,17.045454545454547
950,Leftside Connector,huNter-,3,0,3,278,81,197,CT,141,41.91489361702127,0.6382978723404256,0.6382978723404256,0.0,59.148936170212764,17.23404255319149
951,Leftside Connector,huNter-,1,1,0,100,68,32,T,176,5.454545454545455,0.0,0.17045454545454547,0.17045454545454547,17.045454545454547,11.59090909090909
952,CT Left Side,huNter-,0,0,0,22,42,-20,CT,141,-4.25531914893617,0.0,0.0,0.0,4.680851063829787,8.936170212765957
953,CT Left Side,huNter-,0,0,0,0,0,0,T,176,0.0,0.0,0.0,0.0,0.0,0.0
954,Ladder Room Catwalk Side,huNter-,8,1,7,629,143,486,CT,141,103.40425531914893,1.4893617021276597,1.702127659574468,0.2127659574468085,133.82978723404256,30.425531914893618
955,Ladder Room Catwalk Side,huNter-,2,1,1,279,178,101,T,176,17.21590909090909,0.17045454545454547,0.34090909090909094,0.17045454545454547,47.55681818181818,30.340909090909093
956,Stairs Palace Peek,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
957,Stairs Palace Peek,huNter-,2,3,-1,254,296,-42,T,176,-7.159090909090909,-0.17045454545454547,0.34090909090909094,0.5113636363636364,43.29545454545455,50.45454545454545
958,Market Window Peek,huNter-,0,2,-2,0,112,-112,CT,141,-23.829787234042556,-0.425531914893617,0.0,0.425531914893617,0.0,23.829787234042556
959,Market Window Peek,huNter-,2,0,2,100,0,100,T,176,17.045454545454547,0.34090909090909094,0.34090909090909094,0.0,17.045454545454547,0.0
960,Bench,huNter-,1,1,0,154,127,27,CT,141,5.74468085106383,0.0,0.2127659574468085,0.2127659574468085,32.765957446808514,27.02127659574468
961,Bench,huNter-,0,0,0,14,0,14,T,176,2.3863636363636362,0.0,0.0,0.0,2.3863636363636362,0.0
962,Back B Site Peeking Apps/Plat,huNter-,3,0,3,322,44,278,CT,141,59.148936170212764,0.6382978723404256,0.6382978723404256,0.0,68.51063829787233,9.361702127659575
